
---------- Begin Simulation Statistics ----------
simSeconds                                   0.061736                       # Number of seconds simulated (Second)
simTicks                                  61736378140                       # Number of ticks simulated (Tick)
finalTick                                 61736378140                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     22.86                       # Real time elapsed on the host (Second)
hostTickRate                               2700451534                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     756672                       # Number of bytes of host memory used (Byte)
simInsts                                      6945980                       # Number of instructions simulated (Count)
simOps                                       11051652                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   303828                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     483416                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         37034421                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               5.331778                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.187555                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11485432                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    16529                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       12010261                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1207                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               450303                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1052356                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 203                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            30334523                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.395927                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.977335                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  24417749     80.49%     80.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2836439      9.35%     89.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1287013      4.24%     94.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    957977      3.16%     97.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    568443      1.87%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    177485      0.59%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     64535      0.21%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     21598      0.07%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3284      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              30334523                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    7408     22.82%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     22.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     95      0.29%     23.12% # attempts to use FU when none available (Count)
