
---------- Begin Simulation Statistics ----------
simSeconds                                   0.059774                       # Number of seconds simulated (Second)
simTicks                                  59773754375                       # Number of ticks simulated (Tick)
finalTick                                 59773754375                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     30.09                       # Real time elapsed on the host (Second)
hostTickRate                               1986378308                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     756672                       # Number of bytes of host memory used (Byte)
simInsts                                      6945980                       # Number of instructions simulated (Count)
simOps                                       11051652                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   230826                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     367264                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         95638008                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              13.768829                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.072628                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11507450                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    16527                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       12556628                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2033                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               472319                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1138783                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 201                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            55365834                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.226794                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.717631                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  48490397     87.58%     87.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3693627      6.67%     94.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1522426      2.75%     97.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1076930      1.95%     98.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    415960      0.75%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    103244      0.19%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     40589      0.07%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     17523      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      5138      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              55365834                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4517     11.37%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     11.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     95      0.24%     11.61% # attempts to use FU when none available (Count)
