
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017387                       # Number of seconds simulated (Second)
simTicks                                  17387173125                       # Number of ticks simulated (Tick)
finalTick                                 17387173125                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     86.00                       # Real time elapsed on the host (Second)
hostTickRate                                202177976                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8628164                       # Number of bytes of host memory used (Byte)
simInsts                                     53845168                       # Number of instructions simulated (Count)
simOps                                       82313115                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   626111                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     957136                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         27819478                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.516657                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.935520                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        83869827                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    52350                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       83426257                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3775                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1609056                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2809520                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2232                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            27587750                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.024033                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.043853                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3191296     11.57%     11.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3662675     13.28%     24.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5907912     21.41%     46.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4707014     17.06%     63.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2604338      9.44%     72.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3639498     13.19%     85.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2017779      7.31%     93.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1752704      6.35%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    104534      0.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              27587750                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   57302     31.49%     31.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     31.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     31.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     31.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     31.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     31.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     31.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     31.49% # attempts to use FU when none available (Count)
