
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003305                       # Number of seconds simulated (Second)
simTicks                                   3304738125                       # Number of ticks simulated (Tick)
finalTick                                  3304738125                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.80                       # Real time elapsed on the host (Second)
hostTickRate                                258195919                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8628164                       # Number of bytes of host memory used (Byte)
simInsts                                      6972046                       # Number of instructions simulated (Count)
simOps                                       11171467                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   544717                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     872812                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          5287582                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.758397                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.318570                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        12178792                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    17471                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11874476                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4359                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1024790                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1768854                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1145                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5064249                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.344765                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.195001                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1627568     32.14%     32.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    521830     10.30%     42.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    715987     14.14%     56.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    644451     12.73%     69.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    584464     11.54%     80.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    436287      8.62%     89.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    331386      6.54%     96.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    138496      2.73%     98.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     63780      1.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5064249                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   61386     49.80%     49.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     49.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     49.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     49.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     49.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     49.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     49.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     49.80% # attempts to use FU when none available (Count)
